t [s],Q [W],Tin [degC],Tout [degC]
116912,11950.8543086629,29.3358915226249,23.6450085184997
117212,11958.7482181354,29.3639379142926,23.6692959056567
117512,11936.5470394235,29.377257292437,23.6931872736639
117812,11922.7566317578,29.3932567058135,23.7157535478336
118112,11910.818355046,29.4085192116918,23.7367009473842
118412,11861.8209154679,29.4037025447043,23.7552163944815
118712,11853.1215346816,29.4160140995346,23.771670511591
119012,11789.339071603,29.3992596792201,23.7852886927425
119312,11772.5552371961,29.4025627094316,23.7965840250525
119612,11782.634781851,29.4178724183502,23.8070939508021
119912,11795.9188975921,29.4356465825146,23.818542345566
120212,11789.028828596,29.4452610521614,23.831437800449
120512,11806.9449659417,29.4684592011656,23.8461044554791
120812,11812.7267382503,29.4873765867894,23.862268616194
121112,11733.7324461815,29.4647554950575,23.8772638540187
121412,11717.738592996,29.4699203776053,23.890044857131
121712,11763.4181005259,29.503959020705,23.9023313537879
122012,11761.7503165947,29.5162755321477,23.915442048055
122312,11750.343801751,29.5250108796304,23.9296090692728
122612,11716.5804118093,29.5228574728935,23.94353346727
122912,11715.8744427707,29.535734742414,23.9567469125232
123212,11685.783396932,29.5332973814019,23.9686386209581
123512,11671.7862372663,29.5373520336271,23.9793585873098
123812,11654.313008679,29.5387808813344,23.9891080200587
124112,11616.7165170267,29.5293245250163,23.9975547550036
124412,11624.6029066845,29.5410146482261,24.0054894545668
124712,11681.0481682684,29.5776425228996,24.015238633248
125012,11709.7998880208,29.6033232799248,24.027228095153
125312,11744.2495163154,29.6367650507833,24.0442652811093
125612,11745.8942503146,29.6571416899673,24.063858713627
125912,11755.6609802583,29.682410342307,24.084476542184
126212,11806.2453979168,29.7283779483297,24.1063563302741
126512,11796.785396504,29.7463223753038,24.1288055198257
126812,11820.4088424971,29.7805911738758,24.151825058401
127112,11830.1287727711,29.8084676150841,24.1750729613836
127412,11868.1253048358,29.8506119255616,24.1991236851636
127712,11881.8408916708,29.8820083678145,24.2239888955903
128012,11921.3524121637,29.926993144316,24.2501586623333
128312,11927.6897833485,29.9569502002488,24.2770979224638
128612,11951.0138635073,29.9955092144085,24.304550231786
128912,11938.1798948964,30.0162356598655,24.3313880908672
129212,11980.8936683659,30.0633470886603,24.3581596275337
129512,11999.3942967896,30.0992112866871,24.3852140025016
129812,11904.189566799,30.0783668233387,24.409705124863
130112,11848.8076691391,30.0716851540194,24.4293957877627
130412,11886.7430842833,30.1061115680141,24.4457577183554
130712,11920.7804091335,30.1383191361919,24.4617570366045
131012,11908.1902663004,30.1492390217897,24.4786722283133
131312,11905.2389232981,30.1655869908448,24.4964255987981
131612,11940.4062557382,30.2012165247651,24.5153087839374
131912,11933.3562013216,30.2172960291242,24.5347454570663
132212,11925.8225788033,30.2330367124725,24.554073579709
